"","d1","d2","d3","d4","d5"
"642","Academy Of Musical Arts (Valente's) ","201 Syndicate Ave S, Thunder Bay, ON P7E 1E1Get directions »","807-623-9361Primary","www.valentesmusic.com",NA
"643","Northern Sounds & Systems ","40 Matheson St S, Kenora, ON P9N 1T6Get directions »","807-468-1777Primary",NA,NA
"644","Long & McQuade Musical Instruments ","13785 104th Avenue, Surrey, BC V3T 1W6Get directions »","604-588-9421Primary, 604-588-9420Fax","long-mcquade.com",NA
"645","Sense Jobs ","2100-200 Burrard St, Vancouver, BC V6C 2G8Get directions »","778-724-0108Primary, 1-877-556-5268Tollfree",NA,NA
"646","The Rock Shop ","ON","905-973-4702Primary",NA,NA
"647","Sunrise Records ","1000 Fort William Rd","807-345-2112Primary",NA,NA
"648","Tundra Music ","Pickering, ON L1V 1R8","905-492-2642Primary",NA,NA
"649","DartRecordsMusic ","character(0)","647-206-8401Primary",NA,NA
"650","Coll Audio ","ON","905-696-6829Primary","collaudio.com",NA
"651","Erie Music ","ON","519-426-5947Primary","www.facebook.com",NA
"652","Classic Recordings ","ON Z6Z 6Z6","416-287-9682Primary","www.classicrecordings.ca",NA
"653","Piano Showcase ","2189 Lancaster Cres, ON L7P 3G4","905-315-7184Primary","plus.google.com",NA
"654","Davis Guitars ","Windsor, ON N0R 1K0","519-560-1692Primary","www.kerrydavisguitars.com",NA
"655","Schwartz Guitars ","2717 Concession Road 5, Beeton, ON","905-729-0024Primary","www.schwartzguitars.com",NA
"656","Intense Records ","ON","905-712-3647Primary",NA,NA
"657","CH Records ","ON","905-593-9979Primary",NA,NA
"658","Kmart Electroics ","ON","416-845-4173Primary",NA,NA
"659","Simply Music ","ON","416-671-6093Primary",NA,NA
"660","Heritage Music ","ON","416-265-4778Primary",NA,NA
"661","CJC Music ","character(0)","416-721-7162Primary",NA,NA
"662","Guitar Clinic ","ON","905-528-5667Fax",NA,NA
"663","Dickert Guitars ","ON","905-315-9779Primary",NA,NA
"664","Black Duck Entertainment ","ON","289-427-6208Primary","blackduck.ca",NA
"665","SHIV Sound Crew ","Z6Z 6Z6","647-988-4775Primary",NA,NA
"666","Whirl Records Canada ","59 Polonia Park Pl, Windsor, ON N8Y 4V6","519-915-2027Primary","www.whirlrecordscanada.com",NA
"667","Tune Up Music ","ON","416-778-6933Primary",NA,NA
"668","Custom Guitar Shop ","Windsor, N9A 5B8","519-253-6245Primary",NA,NA
"669","Toronto Jazz Collective ","Toronto, ON M4K 3S7","416-294-6544Primary",NA,"3/5"
"670","Royal City Records ","ON","226-343-7284Primary",NA,NA
"671","Rock My House ","ON","613-864-1304Primary",NA,NA
"672","Epic Musical Instruments ","ON","905-515-6198Primary",NA,NA
"673","Avian Guitars Canada ","Oakville, ON","289-400-7529Primary, 1-800-805-6244Tollfree, 905-827-4998Fax",NA,NA
"674","DJ's Aussies ","Napanee, ON","613-929-6941Primary",NA,NA
"675","Shaman Stone Records ","ON","705-222-5646Primary",NA,NA
"676","Tapio's Piano Service ","ON","416-804-5280Primary","tapios.ca",NA
"677","Kevin James - Music Emporium ","ON","343-333-4906Primary","kevinjamesmusicemporium.ca",NA
"678","Ruckus Rehearsal & Recording ","character(0)","647-284-2964Primary","rehearsalspacetoronto.ca",NA
"679","Our Favourite Shop Records ","ON","289-990-4688Primary","ourfavouriteshop.wix.com",NA
"680","Sunny's Vinyl Inc ","character(0)","905-791-0005Primary",NA,NA
"681","Dot on Shaft Guitars ","Barrie, ON L4N 7J2","705-812-1061Primary",NA,NA
"682","Harmony Sales & Rental ","ON","705-360-8150Primary",NA,NA
"683","Basement Production 416718 Records ","ON","519-900-0255Primary",NA,NA
"684","Piano Gallery Michael Ierullo ","Bolton, ON L7E 5B1","905-857-5124Primary",NA,NA
"685","The Custom Guitar Shop ","ON","905-335-0659Primary",NA,NA
"686","Don't Fret Guitar Lessons ","ON","705-645-1112Primary",NA,NA
"687","O R Specialty Products Inc ","Buckhorn, ON K0L 1J0","705-657-8033Primary",NA,NA
"688","Colosimo Music Store & Studio ","ON","807-344-9561Primary",NA,NA
"689","All In One ","ON","289-700-7072Primary",NA,NA
"690","Sonotechnique PJL Inc ","character(0)","416-947-9112Primary","www.sonotechnique.ca",NA
"691","Sunrise Records & Tapes ","Toronto Eaton Centre, Toronto, ON","416-593-7989Primary","sunriserecords.com",NA
"692","Sunrise Record Distributo ","ON","416-494-5330Primary","www.sunriserecords.com",NA
